"dest","origin","n_jointpath"
"LAX","SFO",324308
"SFO","LAX",322468
"LAS","LAX",288001
"LAX","LAS",282381
"LAX","PHX",273693
"PHX","LAX",272424
"MSP","ORD",238189
"ORD","MSP",237456
"LAS","PHX",237392
"PHX","LAS",234639
"ORD","LGA",223621
"DAL","HOU",221691
"LGA","ORD",218317
"HOU","DAL",208805
"ORD","EWR",199208
"EWR","ORD",192419
"LAX","OAK",187626
"OAK","LAX",186956
"DFW","ORD",186237
"DFW","ATL",184298
"LAX","ORD",183360
"ORD","LAX",182840
"ATL","DFW",182334
"BOS","LGA",181535
"ORD","DFW",180852
"LGA","BOS",178588
"PHX","SAN",178433
"ORD","ATL",177688
"IAH","DFW",177424
"DFW","IAH",175629
"ATL","ORD",172612
"SAN","PHX",172040
"DCA","LGA",171008
"LGA","DCA",170673
"LAX","SAN",168458
"DEN","DFW",165393
"SAN","LAX",165237
"DFW","DEN",163084
"DCA","BOS",162910
"ORD","DCA",162649
"DCA","ORD",162478
"SJC","LAX",160951
"BOS","DCA",160944
"LAX","SJC",160941
"ORD","PHL",159986
"ORD","BOS",158411
"LAX","SEA",157383
"PHL","ORD",156619
"DTW","ORD",156028
"SFO","SEA",155922
"SEA","SFO",155418
"SEA","LAX",154726
"BOS","ORD",154501
"JFK","LAX",153278
"ORD","DTW",153059
"LAX","JFK",152447
"ORD","DEN",150302
"DEN","ORD",148193
"ONT","PHX",147819
"PHX","ONT",147469
"EWR","ATL",143187
"ATL","EWR",142622
"SEA","ANC",139906
"ANC","SEA",138811
"LGA","ATL",137257
"DFW","LAX",137006
"EWR","BOS",136963
"ATL","LGA",136422
"DFW","SAT",136366
"PHX","ABQ",135878
"BOS","EWR",135834
"LAX","DFW",135505
"ORD","SFO",132945
"DFW","AUS",132285
"AUS","DFW",131391
"SFO","SAN",131082
"SAN","SFO",130981
"SAT","DFW",130843
"ABQ","PHX",130661
"SFO","ORD",130574
"STL","ORD",130102
"ORD","STL",129358
"PHL","BOS",128781
"MCO","ATL",128220
"PHX","DEN",128201
"DEN","PHX",128020
"MIA","ATL",126756
"BOS","PHL",126545
"ATL","PHL",126121
"PHX","DFW",123693
"DEN","LAX",123611
"ATL","MIA",122989
"HOU","MSY",122559
"ATL","MCO",122338
"LAX","DEN",121678
"MSY","HOU",121421
"PHL","ATL",120789
"DFW","PHX",119926
"SLC","DEN",118984
"IAH","ORD",117058
"ORD","IAH",116901
"ATL","DCA",115475
"LAS","SAN",115366
"SAN","LAS",114676
"DEN","SLC",114233
"DCA","ATL",114190
"LGA","DFW",113358
"DFW","LGA",112557
"CVG","ORD",111092
"ORD","CVG",110960
"PHX","ORD",110715
"DTW","ATL",110411
"ORD","PHX",110241
"LAX","HNL",109902
"CLT","ATL",109107
"ATL","TPA",108896
"ATL","DTW",108816
"TPA","ATL",108347
"PHX","SLC",107948
"OAK","BUR",107706
"BUR","OAK",107661
"HNL","LAX",107582
"ORD","PIT",107345
"ATL","CLT",107184
"SLC","PHX",107178
"PIT","ORD",106373
"CLE","ORD",106284
"ORD","CLE",106117
"LAS","SFO",104878
"SFO","PHX",104347
"SFO","LAS",104278
"STL","MDW",104072
"MDW","STL",104015
"JFK","SFO",103864
"DEN","MSP",102565
"SFO","JFK",102493
"PHX","SFO",102273
"LAX","SMF",102000
"SMF","LAX",101457
"MDW","DTW",101128
"DTW","MSP",100830
"DFW","STL",100676
"SEA","ORD",100618
"DFW","LAS",100257
"DEN","SFO",100236
"DAL","SAT",100099
"STL","DFW",100085
"SFO","DEN",99972
"SAT","DAL",99879
"MEM","ATL",99829
"IAH","ATL",99722
"MSP","DEN",99610
"PDX","SFO",99508
"LAS","DEN",99349
"DEN","LAS",99164
"ATL","IAH",98886
"DTW","MDW",98853
"STL","MCI",98551
"SFO","PDX",98485
"ATL","MEM",98255
"ORD","SEA",98108
"MCI","STL",98091
"ATL","FLL",97934
"DFW","SFO",97373
"AUS","DAL",97179
"PHX","TUS",97103
"ELP","PHX",97020
"DAL","AUS",97011
"MCI","MDW",96937
"DEN","IAH",96916
"IAH","DEN",96905
"SFO","DFW",96840
"LAS","DFW",96716
"MDW","MCI",96662
"FLL","ATL",95535
"BOS","ATL",94784
"PHX","ELP",94670
"TUS","PHX",94489
"MCO","EWR",94442
"EWR","MCO",94240
"LAX","SLC",93959
"SEA","OAK",93890
"SAN","OAK",93876
"DFW","DCA",93797
"DTW","EWR",93747
"OAK","SAN",93734
"ORD","LAS",93612
"LAS","ORD",93142
"OAK","SEA",93037
"RDU","ATL",92972
"MSP","DTW",92773
"EWR","DTW",92752
"STL","DTW",92029
"DTW","STL",92002
"LAS","BUR",91692
"BUR","LAS",91559
"JAX","ATL",91137
"SLC","LAX",90547
"SLC","LAS",90510
"BWI","ATL",90403
"DCA","DFW",90181
"ATL","BOS",90169
"CLT","ORD",90093
"HOU","SAT",90073
"ORD","CLT",89288
"ONT","OAK",89184
"IAD","ATL",89121
"LAS","SLC",89018
"ATL","IAD",88656
"DEN","SEA",88377
"ATL","PIT",88326
"DFW","MCI",88239
"ATL","RDU",88145
"RNO","LAS",87996
"PIT","ATL",87953
"ATL","JAX",87773
"SAN","SJC",87614
"ATL","BWI",87527
"SJC","SAN",87518
"SAN","DFW",87451
"MCO","PHL",87416
"PHL","MCO",86944
"IAH","MSY",86853
"SJC","SNA",86833
"MSY","IAH",86686
"PDX","LAX",86631
"MCI","DFW",86585
"DFW","EWR",86442
"MSP","DFW",86359
"DFW","MSP",86269
"SNA","SJC",86245
"EWR","DFW",86023
"STL","ATL",85569
"DEN","ATL",85547
"SEA","DEN",85458
"LAX","PDX",85366
"ATL","STL",85067
"HNL","OGG",85011
"GEG","SEA",84801
"OAK","ONT",84734
"ATL","MSP",84416
"ATL","DEN",84091
"LAS","RNO",84006
"SAT","HOU",83840
"MSP","ATL",83785
"LGA","MIA",83624
"SEA","GEG",83550
"DFW","MIA",82863
"MIA","ORD",82740
"DFW","DTW",82514
"EWR","LAX",82153
"MIA","LGA",82011
"ORD","MIA",81772
"PHL","PIT",81552
"OGG","HNL",81544
"DFW","BOS",81471
"ORD","BDL",81407
"MCI","ORD",81315
"BDL","ORD",81312
"PHX","STL",81292
"DTW","DFW",81242
"DFW","MCO",81230
"DFW","SAN",81223
"MIA","DFW",81190
"HOU","AUS",80974
"ORD","BWI",80956
"MCO","DFW",80740
"SEA","PDX",80670
"BWI","ORD",80282
"LAX","EWR",79957
"ATL","MSY",79955
"OKC","DFW",79898
"SAT","IAH",79891
"STL","MSP",79374
"AUS","HOU",79309
"MSY","ATL",79187
"PIT","PHL",78916
"SJU","JFK",78912
"JFK","SJU",78897
"LGA","CLT",78864
"SAN","SMF",78776
"SFO","SNA",78744
"MSP","STL",78682
"ORD","MCI",78655
"MIA","MCO",78580
"ELP","DFW",78515
"ORD","CMH",78470
"DTW","LGA",78409
"SMF","SAN",78313
"DFW","MEM",78294
"IAH","SAT",78203
"PDX","SEA",78195
"LGA","DTW",78079
"ORD","IND",78053
"ORD","SAN",77885
"SNA","SFO",77729
"BOS","DFW",77725
"CMH","ORD",77663
"BNA","DFW",77610
"DFW","OKC",77554
"DFW","TUL",77547
"SEA","PHX",77499
"MEM","DFW",77314
"TUL","DFW",77266
"DFW","ELP",77240
"DFW","BNA",77170
"IND","ORD",77083
"SAN","ORD",77035
"LAS","ONT",76834
"SFO","BUR",76525
"MSY","DFW",76445
"PHX","SEA",75845
"SEA","DFW",75804
"STL","PHX",75773
"ATL","PBI",75762
"OAK","SNA",75524
"PHX","BUR",75442
"BUR","PHX",75422
"BUR","SFO",75239
"CLT","LGA",75114
"SNA","OAK",75017
"DFW","SEA",74876
"IAD","BOS",74829
"DFW","MSY",74814
"IAD","LAX",74744
"ATL","LAX",74493
"ATL","SAV",74474
"MCO","ORD",74454
"SJC","SEA",74440
"BOS","IAD",74337
"SEA","SJC",74072
"EWR","CLT",73794
"TPA","FLL",73640
"LAX","IAD",73530
"MCO","MIA",73495
"DFW","PHL",73327
"ABQ","DFW",73284
"SJC","PHX",73226
"LAX","IAH",73173
"LGA","MCO",73104
"CHS","ATL",73000
"BHM","ATL",72999
"PHL","DFW",72986
"SNA","PHX",72909
"IAH","LAX",72827
"BOS","BWI",72766
"BWI","BOS",72714
"FAI","ANC",72691
"SNA","DFW",72637
"ORD","MCO",72526
"PHX","SNA",72507
"CLT","EWR",72277
"BUF","ORD",72193
"BWI","CLE",72160
"CLE","BWI",72130
"ORD","BUF",72111
"FLL","TPA",72020
"LAX","ATL",71890
"IAH","AUS",71815
"ATL","CHS",71758
"AUS","IAH",71465
"ANC","FAI",71289
"MCO","LGA",71212
"ONT","LAS",71184
"EWR","DCA",70864
"DFW","ABQ",70842
"PBI","ATL",70811
"DFW","SNA",70680
"DCA","EWR",70602
"LIT","DFW",70465
"DFW","LIT",70406
"SAV","ATL",70397
"HOU","STL",70386
"PHX","SJC",70217
"FLL","LGA",70160
"ORD","ROC",70085
"SMF","ONT",70008
"PHX","OAK",69928
"SLC","DFW",69849
"MDW","CLE",69837
"CLE","MDW",69818
"ONT","SMF",69813
"PHL","DTW",69777
"BNA","ATL",69763
"STL","HOU",69563
"ROC","ORD",69413
"ATL","BHM",69324
"DSM","ORD",68929
"DTW","PHL",68823
"ORD","IAD",68776
"ORD","SLC",68723
"OAK","PHX",68388
"LGA","FLL",68083
"DFW","HOU",68023
"DFW","CLT",67938
"CLT","DFW",67851
"DFW","TPA",67844
"DEN","MCI",67830
"IAH","PHX",67819
"ORD","GRR",67804
"PHX","IAH",67694
"BWI","PVD",67629
"PHL","CLT",67596
"COS","DEN",67475
"PVD","BWI",67445
"OAK","LAS",67438
"ATL","BNA",67430
"ATL","CLE",67428
"GRR","ORD",67208
"DFW","SLC",67082
"PHX","MSP",67069
"DEN","COS",67058
"RSW","ATL",67005
"HOU","DFW",67002
"CLT","PHL",66987
"SLC","ORD",66809
"ATL","RSW",66621
"JFK","BOS",66561
"BOS","JFK",66542
"LAS","SEA",66366
"SLC","SFO",66365
"IAD","ORD",66319
"TPA","DFW",66272
"MCO","BWI",66258
"EWR","MIA",66223
"MIA","EWR",66211
"LAS","OAK",66119
"MCI","DEN",65919
"SFO","SLC",65784
"BWI","MCO",65760
"IAH","EWR",65730
"BOS","MCO",65466
"MIA","SJU",65462
"DEN","ABQ",65460
"ATL","CVG",65382
"MCO","BOS",65342
"OMA","ORD",65339
"BNA","ORD",65325
"EWR","FLL",65299
"CVG","ATL",65276
"FLL","EWR",65201
"ABQ","DEN",65196
"SJU","MIA",65135
"GSO","ATL",65121
"ATL","GSO",65084
"MCI","ATL",65067
"EWR","IAH",65002
"DCA","MIA",64962
"ORD","BNA",64875
"DEN","EWR",64720
"LBB","DAL",64661
"MSP","PHX",64652
"SEA","LAS",64515
"ORD","RDU",64474
"DEN","STL",64379
"CLT","PIT",64328
"ATL","CAE",64247
"MIA","DCA",64236
"EWR","DEN",64224
"PDX","OAK",64208
"PDX","SJC",64139
"SJC","PDX",64096
"ORD","SJC",64060
"OAK","PDX",63930
"MEM","ORD",63683
"PIT","EWR",63551
"CLT","DCA",63541
"TUS","DFW",63514
"ATL","MCI",63431
"ATL","PHX",63224
"SMF","BUR",63203
"ORD","DSM",63181
"BUR","SMF",63141
"CAE","ATL",63121
"RDU","ORD",63113
"ORD","MEM",63108
"PNS","ATL",63104
"ATL","PNS",63056
"STL","DEN",63053
"DFW","TUS",62905
"DCA","DTW",62890
"PIT","CLT",62846
"CLE","LGA",62810
"LGA","CLE",62657
"DCA","CLT",62534
"LAS","SJC",62527
"SJC","DFW",62514
"EWR","PIT",62296
"PHX","ATL",62251
"DTW","BNA",62098
"HNL","SFO",62077
"SAN","DEN",62056
"CLE","ATL",62025
"LAX","TUS",62001
"TUS","LAX",61852
"ORD","OMA",61704
"HOU","HRL",61664
