"Destination","Origin","N_path","routenumber","Latitudes","Longitudes"
"LAX","SFO",324308,1,33.94250107,-118.4079971
"SFO","LAX",322468,2,37.6189994812012,-122.375
"LAS","LAX",288001,3,36.08010101,-115.1520004
"LAX","LAS",282381,4,33.94250107,-118.4079971
"LAX","PHX",273693,5,33.94250107,-118.4079971
"PHX","LAX",272424,6,33.4342994689941,-112.012001037598
"MSP","ORD",238189,7,44.8819999695,-93.2218017578
"ORD","MSP",237456,8,41.97859955,-87.90480042
"LAS","PHX",237392,9,36.08010101,-115.1520004
"PHX","LAS",234639,10,33.4342994689941,-112.012001037598
"LAX","SFO",324308,1,37.6189994812012,-122.375
"SFO","LAX",322468,2,33.94250107,-118.4079971
"LAS","LAX",288001,3,33.94250107,-118.4079971
"LAX","LAS",282381,4,36.08010101,-115.1520004
"LAX","PHX",273693,5,33.4342994689941,-112.012001037598
"PHX","LAX",272424,6,33.94250107,-118.4079971
"MSP","ORD",238189,7,41.97859955,-87.90480042
"ORD","MSP",237456,8,44.8819999695,-93.2218017578
"LAS","PHX",237392,9,33.4342994689941,-112.012001037598
"PHX","LAS",234639,10,36.08010101,-115.1520004
